,business_city,business_state,business_street1,business_street2,business_zip,cik,firm_name,mailing_city,mailing_state,mailing_street1,mailing_street2,mailing_zip
0,WICHITA,KS,"7701 E. KELLOGG DRIVE, SUITE 300",,67207,0001227500,EQUITY BANCSHARES INC,WICHITA,KS,"7701 E. KELLOGG DRIVE, SUITE 300",,67207
1,JACKSON,MI,ONE ENERGY PLAZA,,49201,0000201533,CONSUMERS ENERGY CO,JACKSON,MI,ONE ENERGY PLAZA,,49201
2,GUANGZHOU,F4,27/F PEARL RIVER TOWER,NO.15 WEST ZHUJIANG ROAD TIANHE DISTRICT,510623,0001413855,FANHUA INC.,GUANGZHOU,F4,27/F PEARL RIVER TOWER,NO.15 WEST ZHUJIANG ROAD TIANHE DISTRICT,510623
3,ROCHESTER,NY,1895 MOUNT HOPE AVE,,14620,0001205922,"VACCINEX, INC.",ROCHESTER,NY,1895 MOUNT HOPE AVE,,14620
4,MORRIS,IL,1000 E. ARMSTRONG ST.,,60450,0001525306,First America Resources Corp,MORRIS,IL,1000 E. ARMSTRONG ST.,,60450
5,TEANECK,NJ,"300 FRANK W. BURR BLVD., STE. 36, 6 FL.",,07666,0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,TEANECK,NJ,"300 FRANK W. BURR BLVD., STE. 36, 6 FL.",,07666
6,DANBURY,CT,3 GREAT PASTURE RD,,06813,0000886128,FUELCELL ENERGY INC,DANBURY,CT,3 GREAT PASTURE ROAD,,06813
7,MIAMI BEACH,FL,1840 W AVE,,33139,0000720762,NON INVASIVE MONITORING SYSTEMS INC /FL/,MIAMI BEACH,FL,1840 WEST AVE,,33140
8,NEW YORK,NY,1345 AVENUE OF THE AMERICAS,32ND FLOOR,10105,0001551047,Bluerock Total Income (plus) Real Estate Fund,NEW YORK,NY,1345 AVENUE OF THE AMERICAS,32ND FLOOR,10105
9,WATERTOWN,MA,480 PLEASANT STREET,SUITE B300,02472,0001314102,"EyePoint Pharmaceuticals, Inc.",WATERTOWN,MA,480 PLEASANT STREET,SUITE B300,02472
