,cik,latitude,longitude,official_address
0,1314102,42.3664806,-71.2070233,"480 Pleasant St, Watertown, MA 02472, USA"
1,1495584,37.3319276,-121.8925332,"150 Almaden Blvd, San Jose, CA 95113, USA"
2,1459200,38.9227168,-77.23144429999999,"8281 Greensboro Dr, McLean, VA 22102, USA"
3,1450922,40.7622869,-73.9750432,"712 Fifth Avenue, 712 5th Ave, New York, NY 10019, USA"
4,928022,29.7456168,-95.5605794,"2000 W Sam Houston Pkwy S, Houston, TX 77042, USA"
5,105319,40.7420901,-73.9941211,"675 6th Ave, New York, NY 10011, USA"
6,945841,30.44164719999999,-90.0873601,"109 Northpark Blvd, Covington, LA 70433, USA"
7,1825473,32.8494483,-117.271724,"1250 Prospect St, La Jolla, CA 92037, USA"
8,948320,40.7444147,-73.98791949999999,"236 5th Ave, New York, NY 10001, USA"
9,6207,39.9712368,-75.310834,"850 West Chester Pike, Havertown, PA 19083, USA"
10,1501570,32.8629211,-96.8058803,"8214 Westchester Dr, Dallas, TX 75225, USA"
11,1406587,32.7623105,-97.0700964,"2221 E Lamar Blvd, Arlington, TX 76006, USA"
12,91928,39.6044781,-74.83819369999999,"1 S Jersey Plaza, Batsto, NJ 08037, USA"
13,1501989,37.6636657,-122.3942501,"151 Oyster Point Blvd, South San Francisco, CA 94080, USA"
14,1822359,40.7491122,-73.98406740000001,"W 35th St & E 35th St, New York, NY 10016, USA"
15,96869,34.8760088,-118.8909451,"4436 Lebec Rd, Lebec, CA 93243, USA"
16,862692,28.0553187,-82.6560241,"700 Brooker Creek Blvd, Oldsmar, FL 34677, USA"
17,74303,38.6482951,-90.33320499999999,"190 Carondelet Plaza Suite 1530, Clayton, MO 63105, USA"
18,1580149,39.1867635,-119.771873,"680 W Nye Ln, Carson City, NV 89703, USA"
19,1360214,36.1248455,-86.84707200000001,"102 Woodmont Blvd, Nashville, TN 37205, USA"
20,1847577,34.0488756,-118.4620338,"11755 Wilshire Blvd, Los Angeles, CA 90025, USA"
21,1717547,40.7623438,-73.9728683,"590 Madison Ave, New York, NY 10022, USA"
22,1164863,35.1533071,-80.83821139999999,"5605 Carnegie Blvd, Charlotte, NC 28209, USA"
23,1289945,38.77289,-77.1385395,"5911 Kingstowne Village Pkwy, Alexandria, VA 22315, USA"
24,1560258,40.922013,-74.49635350000001,"200 Forge Way, Rockaway, NJ 07866, USA"
25,1823323,40.7496642,-73.98885969999999,"111 W 33rd St, New York, NY 10120, USA"
26,1801602,26.3970576,-80.0951324,"621 NW 53rd St, Boca Raton, FL 33487, USA"
27,1396878,37.8978421,-122.0653235,"1850 Mt Diablo Blvd, Walnut Creek, CA 94596, USA"
28,1177609,39.95129370000001,-75.1526227,"701 Market St, Philadelphia, PA 19106, USA"
29,1423221,29.7490993,-95.4572227,"1800 W Loop S, Houston, TX 77027, USA"
30,1278680,37.7890739,-122.3959496,"400 Howard St, San Francisco, CA 94105, USA"
31,1040161,45.399055,-122.7538477,"16760 SW Upper Boones Ferry Rd, Tigard, OR 97224, USA"
32,1840877,28.0671035,-82.6374661,"12610 Race Track Rd, Tampa, FL 33626, USA"
33,1806201,30.2610079,-97.7896415,"1501 S MoPac Expy, Austin, TX 78746, USA"
34,1074828,47.6100123,-122.3345342,"500 Union St, Seattle, WA 98101, USA"
35,29905,41.83331159999999,-88.00764160000001,"3005 Highland Pkwy, Downers Grove, IL 60515, USA"
36,1796129,37.42632529999999,-122.1409849,"260 Sheridan Ave, Palo Alto, CA 94306, USA"
37,727273,34.0497206,-118.2556317,"550 S Hope St, Los Angeles, CA 90071, USA"
38,1844971,41.1372059,-73.2888368,"135 Rennell Dr, Southport, CT 06890, USA"
39,1667161,42.2289823,-71.0275833,"2 Batterymarch Park, 2 Batterymarch Park, Quincy, MA 02169, USA"
40,1042776,33.9054525,-84.36003769999999,"5565 Glenridge Con, Atlanta, GA 30342, USA"
41,1095651,40.7547235,-73.9827753,"W. R. Grace Building, 1114 6th Ave, New York, NY 10110, USA"
42,1037676,38.6732621,-90.4397472,"1 Cityplace Dr, Creve Coeur, MO 63141, USA"
43,1287808,39.9546323,-75.1745279,"2005 Market St #100, Philadelphia, PA 19103, USA"
44,1875943,37.7985342,-122.4574719,"39 Mesa St, San Francisco, CA 94129, USA"
45,896493,35.9821002,-115.1919034,"11411 Southern Highlands Pkwy, Las Vegas, NV 89141, USA"
46,1577134,40.7475109,-73.9937831,"205 W 28th St, New York, NY 10001, USA"
47,1349929,39.9283823,-75.052217,"2370 NJ-70, Cherry Hill, NJ 08002, USA"
48,1340122,39.8068281,-86.289284,"Waterfront Dr, Indianapolis, IN 46214, USA"
49,1571776,40.20559739999999,-74.1238583,"1451 NJ-34, Wall Township, NJ 07727, USA"
50,1475841,39.6088042,-104.8983252,"7800 E Orchard Rd, Greenwood Village, CO 80111, USA"
51,1620393,32.793479,-96.8046193,"300 Crescent Ct, Dallas, TX 75201, USA"
52,1599407,40.7623438,-73.9728683,"590 Madison Ave, New York, NY 10022, USA"
53,1851266,32.7890688,-96.8031592,"1909 Woodall Rodgers Fwy, Dallas, TX 75201, USA"
54,1095981,30.3107687,-97.74120339999999,"4200 Marathon Blvd, Austin, TX 78756, USA"
55,709337,41.0240836,-80.761365,"20 S Broad St, Canfield, OH 44406, USA"
56,1598646,42.4182896,-71.25865139999999,"1601 Trapelo Rd, Waltham, MA 02451, USA"
57,1432133,40.7382621,-73.98821989999999,"250 Park Ave S, New York, NY 10003, USA"
58,1866816,25.7909106,-80.140205,"1111 Lincoln Rd, Miami Beach, FL 33139, USA"
59,1386301,35.9986212,-115.1015505,"10624 S Eastern Ave, Henderson, NV 89052, USA"
60,8063,42.7581596,-78.6375687,"130 Commerce Way, East Aurora, NY 14052, USA"
61,1421461,39.7472884,-104.9903003,"707 17th St, Denver, CO 80202, USA"
62,775368,40.7541604,-73.9875483,"1411 Broadway, New York, NY 10018, USA"
63,1136352,29.7579771,-95.363451,"811 Main St, Houston, TX 77002, USA"
64,1328581,43.6194955,-116.2053001,"1111 W Jefferson St Ste 300, Boise, ID 83702, USA"
65,1088034,29.599661,-98.5529723,"3611 Paesanos Pkwy, San Antonio, TX 78231, USA"
66,1039280,34.15273970000001,-118.6482479,"23975 Park Sorrento, Calabasas, CA 91302, USA"
67,50471,40.657109,-111.8997191,"5282 S Commerce Dr, Murray, UT 84107, USA"
68,40888,33.918884,-118.3952027,"222 N Pacific Coast Hwy, El Segundo, CA 90245, USA"
69,944745,41.4574477,-82.71072889999999,"100 E Water St, Sandusky, OH 44870, USA"
70,1590364,40.7631087,-73.9790586,"Burlington House, New York, NY 10105, USA"
71,1691936,33.0726041,-96.8224553,"5801 Tennyson Pkwy, Plano, TX 75024, USA"
72,1408075,33.9081754,-84.4362621,"1500 Riveredge Pkwy, Atlanta, GA 30328, USA"
73,815097,25.8069247,-80.33593259999999,"3655 NW 87th Ave, Doral, FL 33178, USA"
74,1841661,26.7198456,-80.0375119,"139 N County Rd, Palm Beach, FL 33480, USA"
75,1069308,42.3568809,-71.1858553,"300 Washington St, Newton, MA 02458, USA"
76,1475115,37.7888907,-122.3981003,"535 Mission St, San Francisco, CA 94105, USA"
77,1854463,42.3951933,-71.1457417,"125 Cambridgepark Dr, Cambridge, MA 02140, USA"
78,1742927,37.3234947,-122.0215001,"19925 Stevens Creek Blvd, Cupertino, CA 95014, USA"
79,854775,44.926657,-93.39724749999999,"9350 Excelsior Blvd, Hopkins, MN 55343, USA"
80,1419536,39.0835367,-77.1468028,"201 Rockville Pike, Rockville, MD 20850, USA"
81,1392694,35.2108491,-89.8142294,"3124 Brother Blvd, Bartlett, TN 38133, USA"
82,1601548,38.900983,-104.8726439,"2424 Garden of the Gods Rd, Colorado Springs, CO 80907, USA"
83,1728951,40.3183687,-74.6575781,"902 Carnegie Center Blvd, Princeton, NJ 08540, USA"
84,1411690,32.8812599,-117.2098274,"9540 Towne Centre Dr, San Diego, CA 92121, USA"
85,1464790,34.0465294,-118.4443917,"11100 Santa Monica Blvd, Los Angeles, CA 90025, USA"
86,1292519,42.365955,-71.0911982,"15 Hampshire St, Cambridge, MA 02139, USA"
87,1397183,33.3833265,-111.7569014,"1744 S Val Vista Dr, Mesa, AZ 85204, USA"
88,1653384,41.8860855,-87.62369369999999,"205 N Michigan Ave, Chicago, IL 60601, USA"
