,10K,10Q,8K,cik,exchanges,firm_name,fiscal_end,sic_code,sic_description,tickers
0,1.0,1.0,1.0,0001227500,['Nasdaq'],EQUITY BANCSHARES INC,1231,6022,State Commercial Banks,['EQBK']
1,1.0,1.0,1.0,0000201533,['NYSE'],CONSUMERS ENERGY CO,1231,4931,Electric & Other Services Combined,['CMS-PB']
2,0.0,0.0,0.0,0001413855,['Nasdaq'],FANHUA INC.,1231,6411,"Insurance Agents, Brokers & Service",['FANH']
3,1.0,1.0,1.0,0001205922,['Nasdaq'],"VACCINEX, INC.",1231,2834,Pharmaceutical Preparations,['VCNX']
4,1.0,1.0,1.0,0001525306,['OTC'],First America Resources Corp,0630,5065,"Wholesale-Electronic Parts & Equipment, NEC",['FSTJ']
5,1.0,1.0,1.0,0001058290,['Nasdaq'],COGNIZANT TECHNOLOGY SOLUTIONS CORP,1231,7371,Services-Computer Programming Services,['CTSH']
6,1.0,1.0,1.0,0000886128,"['Nasdaq', 'OTC']",FUELCELL ENERGY INC,1031,3620,Electrical Industrial Apparatus,"['FCEL', 'FCELB']"
7,1.0,1.0,1.0,0000720762,['OTC'],NON INVASIVE MONITORING SYSTEMS INC /FL/,0731,3845,Electromedical & Electrotherapeutic Apparatus,['NIMU']
8,0.0,0.0,0.0,0001551047,['Nasdaq'],Bluerock Total Income (plus) Real Estate Fund,,,,['TIPLX']
9,1.0,1.0,1.0,0001314102,['Nasdaq'],"EyePoint Pharmaceuticals, Inc.",1231,3826,Laboratory Analytical Instruments,['EYPT']
10,0.0,0.0,0.0,0001464591,['NYSE'],GeoPark Ltd,1231,1311,Crude Petroleum & Natural Gas,['GPRK']
11,1.0,1.0,1.0,0001077183,['Nasdaq'],NEOGENOMICS INC,1231,8734,Services-Testing Laboratories,['NEO']
12,1.0,1.0,1.0,0001815753,"['Nasdaq', 'Nasdaq', 'Nasdaq']",Thunder Bridge Capital Partners III Inc.,1231,6770,Blank Checks,"['TBCP', 'TBCPU', 'TBCPW']"
13,1.0,1.0,1.0,0001435064,"['Nasdaq', 'Nasdaq']",CEMTREX INC,0930,3670,Electronic Components & Accessories,"['CETX', 'CETXP']"
14,0.0,0.0,0.0,0001438656,"['OTC', 'OTC']",Industria de Diseno Textil Inditex SA / ADR,,,,"['IDEXY', 'IDEXF']"
15,1.0,1.0,1.0,0001495584,['Nasdaq'],"Firsthand Technology Value Fund, Inc.",1231,,,['SVVC']
16,0.0,0.0,0.0,0001508478,['NYSE'],Arcos Dorados Holdings Inc.,1231,5812,Retail-Eating  Places,['ARCO']
17,1.0,1.0,1.0,0001629665,[''],"MULIANG VIAGOO TECHNOLOGY, INC.",1231,2870,Agricultural Chemicals,['MULG']
18,1.0,1.0,1.0,0001836176,"['NYSE', 'NYSE']",Fathom Digital Manufacturing Corp,1231,3440,Fabricated Structural Metal Products,"['FATH', 'FATH-WT']"
19,0.0,0.0,0.0,0001597634,"['Nasdaq', 'Nasdaq']",Apollo Diversified Real Estate Fund,1231,,,"['GCREX', 'GIREX']"
20,0.0,0.0,0.0,0000769218,"['NYSE', 'OTC', 'NYSE']",AEGON NV,1231,6311,Life Insurance,"['AEG', 'AEGOF', 'AEFC']"
21,0.0,0.0,0.0,0001336835,['OTC'],Forsys Metals Corp,1231,,,['FOSYF']
22,1.0,1.0,1.0,0000882184,['NYSE'],HORTON D R INC /DE/,0930,1531,Operative Builders,['DHI']
23,1.0,1.0,1.0,0001459200,['Nasdaq'],"Alarm.com Holdings, Inc.",1231,7372,Services-Prepackaged Software,['ALRM']
24,1.0,1.0,1.0,0001597264,['Nasdaq'],Blueprint Medicines Corp,1231,2834,Pharmaceutical Preparations,['BPMC']
25,1.0,1.0,1.0,0001450922,['NYSE'],abrdn Silver ETF Trust,1231,6221,Commodity Contracts Brokers & Dealers,['SIVR']
26,1.0,1.0,1.0,0001608092,['OTC'],Kisses From Italy Inc.,1231,5810,Retail-Eating & Drinking Places,['KITL']
27,0.0,0.0,0.0,0001862681,[''],WODA Corp,1231,6770,Blank Checks,['WODA']
28,1.0,1.0,1.0,0001023731,['NYSE'],8X8 INC /DE/,0331,7374,Services-Computer Processing & Data Preparation,['EGHT']
29,1.0,1.0,1.0,0001836875,"['Nasdaq', 'Nasdaq']",Nuvve Holding Corp.,1231,3612,"Power, Distribution & Specialty Transformers","['NVVE', 'NVVEW']"
30,0.0,0.0,0.0,0001821349,['Nasdaq'],NeoGames S.A.,1231,7900,Services-Amusement & Recreation Services,['NGMS']
31,1.0,1.0,1.0,0001841948,['Nasdaq'],Lerer Hippeau Acquisition Corp.,,6770,Blank Checks,['LHAA']
32,1.0,1.0,1.0,0000875045,['Nasdaq'],BIOGEN INC.,1231,2836,"Biological Products, (No Diagnostic Substances)",['BIIB']
33,0.0,0.0,0.0,0001800044,[''],"White Cap Supply Holdings, Inc.",0203,5084,Wholesale-Industrial Machinery & Equipment,['WCAP']
34,0.0,0.0,0.0,0001587264,['NYSE'],ENETI INC.,1231,4412,Deep Sea Foreign Transportation of  Freight,['NETI']
35,1.0,1.0,1.0,0001785494,['OTC'],Woodbridge Liquidation Trust,0630,6500,Real Estate,['WBQNL']
36,1.0,1.0,1.0,0001086600,['Nasdaq'],ALLIANCE RESOURCE PARTNERS LP,1231,1221,Bituminous Coal & Lignite Surface Mining,['ARLP']
37,0.0,0.0,1.0,0001562818,['NYSE'],BlackRock Multi-Sector Income Trust,1231,,,['BIT']
38,0.0,0.0,0.0,0001447137,"['OTC', 'OTC']",Berkeley Group Holdings plc,,,,"['BKGFY', 'BKGFF']"
39,1.0,1.0,1.0,0000928022,['NYSE'],Callon Petroleum Co,1231,1311,Crude Petroleum & Natural Gas,['CPE']
40,1.0,1.0,1.0,0000105319,['Nasdaq'],"WW INTERNATIONAL, INC.",1231,7200,Services-Personal Services,['WW']
41,1.0,1.0,1.0,0001854863,"['Nasdaq', 'Nasdaq']",Blue Whale Acquisition Corp I,1231,6770,Blank Checks,"['BWC', 'BWCAW']"
42,1.0,1.0,1.0,0000945841,['Nasdaq'],POOL CORP,1231,5090,Wholesale-Misc Durable Goods,['POOL']
43,1.0,1.0,1.0,0001825473,"['Nasdaq', 'Nasdaq', 'Nasdaq']",Prospector Capital Corp.,1231,6770,Blank Checks,"['PRSR', 'PRSRW', 'PRSRU']"
44,1.0,1.0,1.0,0001794905,['Nasdaq'],"Cyxtera Technologies, Inc.",1231,7370,"Services-Computer Programming, Data Processing, Etc.",['CYXT']
45,1.0,1.0,1.0,0000948320,"['Nasdaq', 'Nasdaq']","LifeMD, Inc.",1231,8011,Services-Offices & Clinics of  Doctors of  Medicine,"['LFMD', 'LFMDP']"
46,0.0,0.0,0.0,0001334388,['NYSE'],OBSIDIAN ENERGY LTD.,1231,1311,Crude Petroleum & Natural Gas,['OBE']
47,0.0,0.0,0.0,0001122491,['NYSE'],BRF S.A.,1231,2011,Meat Packing Plants,['BRFS']
48,1.0,1.0,1.0,0000006207,['NYSE'],AMREP CORP.,0430,6552,Land Subdividers & Developers (No Cemeteries),['AXR']
49,1.0,1.0,1.0,0001528308,['OTC'],"IONIX TECHNOLOGY, INC.",0630,3679,"Electronic Components, NEC",['IINX']
50,1.0,1.0,1.0,0000106535,['NYSE'],WEYERHAEUSER CO,1231,6798,Real Estate Investment Trusts,['WY']
51,1.0,1.0,1.0,0001134115,['NYSE'],INTERNATIONAL TOWER HILL MINES LTD,1231,1000,Metal Mining,['THM']
52,0.0,0.0,0.0,0001652452,['OTC'],CMX GOLD & SILVER CORP.,1231,1040,Gold and Silver Ores,['CXXMF']
53,1.0,1.0,1.0,0000706129,['Nasdaq'],HORIZON BANCORP INC /IN/,1231,6022,State Commercial Banks,['HBNC']
54,1.0,1.0,1.0,0001501570,['Nasdaq'],"Veritex Holdings, Inc.",1231,6022,State Commercial Banks,['VBTX']
55,1.0,1.0,1.0,0001307954,['NYSE'],Huntsman CORP,1231,2800,Chemicals & Allied Products,['HUN']
56,1.0,1.0,1.0,0001406587,['NYSE'],Forestar Group Inc.,0930,6500,Real Estate,['FOR']
57,1.0,1.0,1.0,0000091928,"['NYSE', 'NYSE', 'NYSE']",SOUTH JERSEY INDUSTRIES INC,1231,4924,Natural Gas Distribution,"['SJI', 'SJIJ', 'SJIV']"
58,1.0,1.0,1.0,0001501989,['Nasdaq'],"CytomX Therapeutics, Inc.",1231,2834,Pharmaceutical Preparations,['CTMX']
59,0.0,0.0,0.0,0001578453,"['NYSE', 'NYSE', 'NYSE']",Dynagas LNG Partners LP,1231,4400,Water Transportation,"['DLNG', 'DLNG-PA', 'DLNG-PB']"
60,0.0,0.0,0.0,0000005094,['NYSE'],Invesco Bond Fund,0630,,,['VBF']
61,1.0,1.0,1.0,0001086745,['Nasdaq'],"AYRO, Inc.",1231,4899,"Communications Services, NEC",['AYRO']
62,1.0,1.0,1.0,0001822359,['Nasdaq'],DocGo Inc.,1231,4100,Local & Suburban Transit & Interurban Hwy Passenger Trans,['DCGO']
63,1.0,1.0,1.0,0001442620,['Nasdaq'],"Recon Technology, Ltd",0630,1389,"Oil & Gas Field Services, NEC",['RCON']
64,1.0,1.0,1.0,0000732026,['NYSE'],TRIO-TECH INTERNATIONAL,0630,3559,"Special Industry Machinery, NEC",['TRT']
65,1.0,1.0,1.0,0000906465,['Nasdaq'],QCR HOLDINGS INC,1231,6022,State Commercial Banks,['QCRH']
66,1.0,1.0,1.0,0001340476,['Nasdaq'],DIRTT ENVIRONMENTAL SOLUTIONS LTD,1231,7372,Services-Prepackaged Software,['DRTT']
67,1.0,1.0,1.0,0001308208,['Nasdaq'],"UNIVERSAL LOGISTICS HOLDINGS, INC.",1231,4213,Trucking (No Local),['ULH']
68,1.0,1.0,1.0,0000775057,['OTC'],ALTEX INDUSTRIES INC,0930,1311,Crude Petroleum & Natural Gas,['ALTX']
69,1.0,1.0,1.0,0000096869,['NYSE'],TEJON RANCH CO,1231,6500,Real Estate,['TRC']
70,1.0,1.0,1.0,0001822027,"['Nasdaq', 'Nasdaq', 'Nasdaq']",Tekkorp Digital Acquisition Corp.,1231,6770,Blank Checks,"['TEKK', 'TEKKW', 'TEKKU']"
71,1.0,1.0,1.0,0001335258,['NYSE'],"Live Nation Entertainment, Inc.",1231,7900,Services-Amusement & Recreation Services,['LYV']
72,0.0,0.0,1.0,0001363438,['NYSE'],FIRST TRUST/ABRDN EMERGING OPPORTUNITY FUND,1231,,,['FEO']
73,1.0,1.0,1.0,0000862692,['NYSE'],CRYO CELL INTERNATIONAL INC,1130,8090,"Services-Misc Health & Allied Services, NEC",['CCEL']
74,0.0,0.0,0.0,0000800954,"['OTC', 'OTC']",OMRON CORP /FI,0331,8880,American Depositary Receipts,"['OMRNY', 'OMRNF']"
75,1.0,1.0,1.0,0000074303,['NYSE'],OLIN Corp,1231,2800,Chemicals & Allied Products,['OLN']
