,index,Unnamed: 0,business_city,business_state,business_street1,business_street2,business_zip,cik,firm_name,mailing_city,mailing_state,mailing_street1,mailing_street2,mailing_zip
0,9,9,WATERTOWN,MA,480 PLEASANT STREET,SUITE B300,02472,1314102,"EyePoint Pharmaceuticals, Inc.",WATERTOWN,MA,480 PLEASANT STREET,SUITE B300,02472
1,15,15,SAN JOSE,CA,150 ALMADEN BLVD.,SUITE 1250,95113,1495584,"Firsthand Technology Value Fund, Inc.",SAN JOSE,CA,150 ALMADEN BLVD.,SUITE 1250,95113
2,23,23,TYSONS,VA,8281 GREENSBORO DRIVE,SUITE 100,22102,1459200,"Alarm.com Holdings, Inc.",TYSONS,VA,8281 GREENSBORO DRIVE,SUITE 100,22102
3,25,25,NEW YORK,NY,712 FIFTH AVENUE,49TH FLOOR,10019,1450922,abrdn Silver ETF Trust,NEW YORK,NY,712 FIFTH AVENUE,49TH FLOOR,10019
4,39,39,HOUSTON,TX,2000 W SAM HOUSTON PARKWAY S,SUITE 2000,77042,928022,Callon Petroleum Co,HOUSTON,TX,2000 W SAM HOUSTON PARKWAY S,SUITE 2000,77042
5,40,40,NEW YORK,NY,675 AVENUE OF THE AMERICAS,6TH FLOOR,10010,105319,"WW INTERNATIONAL, INC.",NEW YORK,NY,675 AVENUE OF THE AMERICAS,6TH FLOOR,10010
7,42,42,COVINGTON,LA,109 NORTHPARK BLVD,4TH FLOOR,70433-5001,945841,POOL CORP,COVINGTON,LA,109 NORTHPARK BLVD,4TH FLOOR,70433-5001
8,43,43,LA JOLLA,CA,1250 PROSPECT STREET,SUITE 200,92037,1825473,Prospector Capital Corp.,LA JOLLA,CA,1250 PROSPECT STREET,SUITE 200,92037
9,45,45,NEW YORK,NY,236 FIFTH AVENUE,SUITE 400,10001,948320,"LifeMD, Inc.",NEW YORK,NY,236 FIFTH AVENUE,SUITE 400,10001
10,48,48,HAVERTOWN,PA,850 WEST CHESTER PIKE,SUITE 205,19083,6207,AMREP CORP.,HAVERTOWN,PA,850 WEST CHESTER PIKE,SUITE 205,19083
12,54,54,DALLAS,TX,8214 WESTCHESTER DRIVE,SUITE 400,75225,1501570,"Veritex Holdings, Inc.",DALLAS,TX,8214 WESTCHESTER DRIVE,SUITE 400,75225
13,56,56,ARLINGTON,TX,2221 E. LAMAR BLVD.,SUITE 790,76006,1406587,Forestar Group Inc.,ARLINGTON,TX,2221 E. LAMAR BLVD.,SUITE 790,76006
14,57,57,FOLSOM,NJ,1 SOUTH JERSEY PLAZA,ROUTE 54,08037,91928,SOUTH JERSEY INDUSTRIES INC,FOLSOM,NJ,1 SOUTH JERSEY PLAZA,ROUTE 54,08037
15,58,58,SOUTH SAN FRANCISCO,CA,151 OYSTER POINT BLVD.,SUITE 400,94080,1501989,"CytomX Therapeutics, Inc.",SOUTH SAN FRANCISCO,CA,151 OYSTER POINT BLVD.,SUITE 400,94080
