,timestamp,collection_id,name,stars,price,section_name
0,1639680936.326187,J7cDsZvhxxmUJhbZTZqkax,Taj Mahal,4.9,Price$119.99,architecture
1,1639680936.331758,MZeZWfRG4AuUCsDxtHuHDE,"LEGOÂ® Gift Cards â one gift, so many choices",,,architecture
2,1639680936.3367,8uVC7kw65qJY2N2NzzuioS,Singapore,,Price$59.99,architecture
3,1639680936.3417118,h5Pw4LwAJSSaFeqYjC7XJo,Empire State Building,4.6,Price$129.99,architecture
4,1639680936.346781,eiKzMzftHEztPd8EujnqXv,Statue of Liberty,4.6,Price$119.99,architecture
5,1639680936.351765,XUw8WkZ5Uahm9Hj3SJkcTm,The White House,4.8,Price$99.99,architecture
6,1639680936.357128,3LmqYRSUKYj5gDa997mXB4,Trafalgar Square,4.2,Price$79.99,architecture
7,1639680936.36196,dJgjxLbo5DuGBfvJhsNkqd,Dubai,4.4,Price$59.99,architecture
8,1639680936.366935,AgCbv2H2kJa7u7wEBuoPR4,New York City,4.2,Price$59.99,architecture
9,1639680936.3718872,7FGWDfScrcSo58gzFdZK3g,Tokyo,4.5,Price$59.99,architecture
10,1639680936.376775,j8CRWPtA7CaMm5X2NtpS75,Paris,4.5,Price$49.99,architecture
11,1639680936.382041,AwdSDNT59Y82x5hVRP2Cok,London,4.6,Price$39.99,architecture
12,1639680936.3870022,fzKLduKycsCkRDNwXsdUih,San Francisco,4.6,Price$49.99,architecture
13,1639680981.820449,GKW2iYtJPJrVEwzre9XvbQ,Batcave™: The Riddler™ Face-off,5,Price$79.99,lego-batman-sets
14,1639680981.8329349,Z2Ewnqwq3to2ZBdXtfLhCo,Discover gifts to rebuild,,,lego-batman-sets
15,1639680981.841299,XTuueQqRWxida6nDq3zQuT,Batman™ Cowl,3.9,Price$59.99,lego-batman-sets
16,1639680981.847955,NTfmT6SHSVy7RnTz424AZC,Classic TV Series Batman™ Cowl,2.3,Price$59.99,lego-batman-sets
17,1639680981.853057,9QjFc3xJPU4u9CevetsjeJ,LEGO® DC Super Heroes Visual Dictionary,,Price$21.99,lego-batman-sets
18,1639680981.8604329,fFTAnF7p9ZtHUU5kxk9fZk,Batman™ Key Chain,,Price$5.99,lego-batman-sets
