,section_name,product_count,average_price,average_stars,median_price,median_stars,q1_price,q3_price,q1_stars,q3_stars
0,star-wars,89,78.38,4.39,29.99,4.5,5.99,5.99,2.62,2.65
1,power-functions,1,34.95,3.0,34.95,3.0,34.95,34.95,3.0,3.0
2,mickey-mouse,5,23.99,4.68,19.99,4.9,10.09,10.29,4.01,4.02
3,minecraft,29,37.4,4.59,29.99,4.7,9.99,9.99,3.71,3.72
4,brickheadz,33,15.02,4.74,14.99,4.8,9.99,9.99,4.01,4.04
5,disney-frozen-2,16,39.43,4.38,19.99,4.65,5.99,5.99,3.01,3.02
6,technic,43,116.87,4.33,69.99,4.5,9.99,9.99,2.36,2.49
7,jurassic-world,10,67.99,4.77,44.99,4.8,20.22,20.66,4.5,4.51
8,brick-sketches,5,16.99,4.8,16.99,5.0,16.99,16.99,4.21,4.22
9,powered-up,21,130.61,3.67,79.99,3.9,10.19,10.59,2.3,2.3
10,mindstorms,5,148.96,3.63,99.95,3.55,25.05,25.25,3.01,3.02
11,lego-originals,1,119.99,3.3,119.99,3.3,119.99,119.99,3.3,3.3
12,xtra,7,3.99,4.7,3.99,5.0,3.99,3.99,3.32,3.36
13,creator-expert,32,184.05,4.42,149.99,4.6,10.76,12.32,3.02,3.07
14,duplo,68,49.03,4.51,29.99,4.8,9.99,9.99,3.0,3.0
15,minifigures,23,16.51,4.27,14.99,4.2,4.99,4.99,3.02,3.05
16,dots,46,12.36,4.72,6.99,4.9,3.99,3.99,3.07,3.2
17,architecture,12,77.49,4.54,59.99,4.6,40.26,40.82,4.2,4.2
18,super-mario,37,58.64,4.37,39.99,4.65,4.99,4.99,2.54,2.61
19,serious-play,4,516.74,4.12,619.99,4.05,40.35,47.07,3.4,3.41
20,disney,62,47.33,4.63,29.99,4.8,5.99,5.99,3.32,3.37
21,art,13,90.76,4.35,119.99,4.35,17.99,17.99,3.51,3.54
22,lego-spider-man,26,37.84,4.56,19.99,4.7,5.99,5.99,3.52,3.56
23,marvel,65,39.05,4.48,29.99,4.65,5.15,5.47,2.83,2.88
24,ideas,19,113.36,4.61,99.99,4.6,5.99,5.99,4.11,4.13
25,dc,25,57.59,4.37,29.99,4.65,5.99,5.99,2.35,2.44
26,harry-potter,37,73.77,4.58,39.99,4.7,5.99,5.99,3.81,3.82
27,monkie-kid,32,79.05,4.56,69.99,4.7,5.99,5.99,3.5,3.5
28,vidiyo,14,31.06,4.36,19.99,4.4,5.48,6.45,2.83,2.89
29,city,89,53.05,4.4,39.99,4.7,7.99,7.99,1.85,1.94
30,minions,11,21.08,4.6,19.99,4.8,5.02,5.07,3.8,3.81
31,ninjago,60,44.27,4.61,29.99,4.8,5.99,5.99,2.61,2.83
32,speed-champions,13,27.68,4.65,19.99,4.7,14.99,14.99,4.11,4.12
33,lego-batman-sets,21,65.8,4.35,29.99,4.7,6.19,6.59,2.34,2.42
34,boost,1,159.99,3.5,159.99,3.5,159.99,159.99,3.5,3.5
35,lego-education,13,174.57,4.17,179.95,4.0,60.55,61.75,4.0,4.0
36,creator-3-in-1,27,37.95,4.83,29.99,4.9,9.99,9.99,4.21,4.24
37,friends,68,38.75,4.78,29.99,4.9,4.49,5.5,3.13,3.4
38,stranger-things,1,199.99,4.1,199.99,4.1,199.99,199.99,4.1,4.1
39,classic,23,28.84,4.41,19.99,4.6,2.63,2.9,2.64,2.73
40,trolls,2,12.99,4.48,12.99,4.3,6.02,6.1,4.2,4.2
